smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,calculation_type,cluster_id,dft_representative,distance_to_dft,distance_to_centroid,is_cluster_center,centroid_latent_1,centroid_latent_2,centroid_latent_3
CO[C@@]1(CN)CC[C@@H](C)C1,-1.2895142162078503,1.1688704666825982,-0.0059598062295489,1,2,10,143.22999999999996,True,False,False,2,PM7,239,624779,0.128687502329404,0.12260925308797026,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CO[C@@]1(CN)CC[C@H](C)C1,-1.2895142162078503,1.1688704666825982,-0.0059598062295489,1,2,10,143.22999999999996,True,False,False,2,PM7,239,624779,0.128687502329404,0.12260925308797026,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CO[C@]1(CN)CC[C@@H](C)C1,-1.2895142162078503,1.1688704666825982,-0.0059598062295489,1,2,10,143.22999999999996,True,False,False,2,PM7,239,624779,0.128687502329404,0.12260925308797026,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
N/C(CCO)=N\OCC1OCCO1,-1.4921364867167208,1.1302852959240062,-0.1396357912317325,2,5,13,190.19899999999998,True,False,False,6,PM7,239,624779,0.1397093931562299,0.13743686591339338,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
COC1(C)CCC(CN)CC1,-1.4268465663856178,1.163775579837305,-0.1787357562148039,1,2,11,157.25699999999998,True,False,False,2,PM7,239,624779,0.14254100691117844,0.12595915692737097,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CC1CCC(CN)([C@H](O)C=O)CC1,-1.490545424890932,1.1790126554956613,-0.1057752778654312,2,3,13,185.26699999999997,True,False,False,3,PM7,239,624779,0.14336721392296659,0.14023553494308208,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CC1CCC(CN)([C@@H](O)C=O)CC1,-1.490545424890932,1.1790126554956613,-0.1057752778654312,2,3,13,185.26699999999997,True,False,False,3,PM7,239,624779,0.14336721392296659,0.14023553494308208,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CN[C@H]1CCC[C@@]1(C)O,-1.3426444179348538,1.1001126520212168,0.0804474148051361,2,2,9,129.203,True,False,False,2,PM7,239,624779,0.1466662375351732,0.16200584982573354,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CN[C@H]1CCC[C@]1(C)O,-1.3426444179348538,1.1001126520212168,0.0804474148051361,2,2,9,129.203,True,False,False,2,PM7,239,624779,0.1466662375351732,0.16200584982573354,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CN[C@@H]1CCC[C@]1(C)O,-1.3426444179348538,1.1001126520212168,0.0804474148051361,2,2,9,129.203,True,False,False,2,PM7,239,624779,0.1466662375351732,0.16200584982573354,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CN[C@@H]1CCC[C@@]1(C)O,-1.3426444179348538,1.1001126520212168,0.0804474148051361,2,2,9,129.203,True,False,False,2,PM7,239,624779,0.1466662375351732,0.16200584982573354,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CNCC12CC(CO1)C2,-1.530134780290678,1.086990633146546,-0.0290410269162318,1,2,9,127.18699999999998,True,False,False,2,PM7,239,624779,0.15247727218768217,0.16928888072214296,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CC/C=C\CCN1CCNC(=O)[C@H]1C,-1.2676427244159276,1.1991328473342473,-0.0477261379387153,1,2,14,196.294,True,False,False,3,PM7,239,624779,0.15310246332924163,0.13804978513684124,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CC/C=C/CCN1CCNC(=O)[C@@H]1C,-1.2676427244159276,1.1991328473342473,-0.0477261379387153,1,2,14,196.294,True,False,False,3,PM7,239,624779,0.15310246332924163,0.13804978513684124,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
